olympics,discipline,sex,age
2022,Snowboard,f,24
2022,Snowboard,f,28
2022,Snowboard,f,26
2022,Snowboard,f,26
2022,Snowboard,f,26
2022,Snowboard,f,25
2022,Snowboard,f,29
2022,Snowboard,f,19
2022,Snowboard,f,39
2022,Snowboard,f,22
2022,Snowboard,f,30
2022,Snowboard,f,26
2022,Snowboard,f,26
2022,Snowboard,f,35
2022,Snowboard,f,24
2022,Snowboard,f,31
2022,Snowboard,f,32
2022,Snowboard,f,23
2022,Snowboard,f,27
2022,Snowboard,f,24
2022,Snowboard,f,19
2022,Snowboard,f,24
2022,Snowboard,f,27
2022,Snowboard,f,29
2022,Snowboard,f,28
2022,Snowboard,f,35
2022,Snowboard,f,30
2022,Snowboard,f,33
2022,Snowboard,f,27
2022,Snowboard,f,19
2022,Snowboard,f,32
2022,Snowboard,m,32
2022,Snowboard,m,28
2022,Snowboard,m,22
2022,Snowboard,m,29
2022,Snowboard,m,23
2022,Snowboard,m,27
2022,Snowboard,m,31
2022,Snowboard,m,30
2022,Snowboard,m,42
2022,Snowboard,m,31
2022,Snowboard,m,22
2022,Snowboard,m,26
2022,Snowboard,m,37
2022,Snowboard,m,31
2022,Snowboard,m,33
2022,Snowboard,m,42
2022,Snowboard,m,26
2022,Snowboard,m,26
2022,Snowboard,m,33
2022,Snowboard,m,27
2022,Snowboard,m,24
2022,Snowboard,m,22
2022,Snowboard,m,33
2022,Snowboard,m,36
2022,Snowboard,m,22
2022,Snowboard,m,27
2022,Snowboard,m,36
2022,Snowboard,m,38
2022,Snowboard,m,36
2022,Snowboard,m,31
2022,Snowboard,m,32
2022,Snowboard,m,22
2022,Ski,f,24
2022,Ski,f,20
2022,Ski,f,21
2022,Ski,f,20
2022,Ski,f,26
2022,Ski,f,27
2022,Ski,f,19
2022,Ski,f,20
2022,Ski,f,23
2022,Ski,f,24
2022,Ski,f,21
2022,Ski,f,27
2022,Ski,f,31
2022,Ski,f,33
2022,Ski,f,29
2022,Ski,f,21
2022,Ski,f,29
2022,Ski,f,25
2022,Ski,f,24
2022,Ski,f,19
2022,Ski,f,26
2022,Ski,f,32
2022,Ski,f,31
2022,Ski,f,26
2022,Ski,f,30
2022,Ski,f,21
2022,Ski,f,26
2022,Ski,f,18
2022,Ski,f,26
2022,Ski,f,18
2022,Ski,f,22
2022,Ski,f,17
2022,Ski,f,21
2022,Ski,f,18
2022,Ski,f,43
2022,Ski,f,21
2022,Ski,f,21
2022,Ski,f,27
2022,Ski,f,27
2022,Ski,f,30
2022,Ski,f,26
2022,Ski,f,28
2022,Ski,f,28
2022,Ski,f,25
2022,Ski,f,31
2022,Ski,f,26
2022,Ski,f,31
2022,Ski,f,24
2022,Ski,f,28
2022,Ski,f,21
2022,Ski,f,17
2022,Ski,f,20
2022,Ski,f,26
2022,Ski,f,25
2022,Ski,f,21
2022,Ski,f,25
2022,Ski,f,27
2022,Ski,f,21
2022,Ski,f,21
2022,Ski,f,20
2022,Ski,f,30
2022,Ski,f,22
2022,Ski,f,29
2022,Ski,f,31
2022,Ski,f,29
2022,Ski,f,23
2022,Ski,f,19
2022,Ski,f,27
2022,Ski,f,29
2022,Ski,f,24
2022,Ski,f,31
2022,Ski,f,25
2022,Ski,f,28
2022,Ski,f,20
2022,Ski,f,21
2022,Ski,f,28
2022,Ski,f,22
2022,Ski,f,20
2022,Ski,f,22
2022,Ski,f,28
2022,Ski,f,25
2022,Ski,f,27
2022,Ski,m,19
2022,Ski,m,27
2022,Ski,m,25
2022,Ski,m,22
2022,Ski,m,24
2022,Ski,m,24
2022,Ski,m,27
2022,Ski,m,25
2022,Ski,m,24
2022,Ski,m,25
2022,Ski,m,25
2022,Ski,m,28
2022,Ski,m,28
2022,Ski,m,28
2022,Ski,m,30
2022,Ski,m,26
2022,Ski,m,22
2022,Ski,m,31
2022,Ski,m,30
2022,Ski,m,28
2022,Ski,m,31
2022,Ski,m,28
2022,Ski,m,26
2022,Ski,m,44
2022,Ski,m,27
2022,Ski,m,20
2022,Ski,m,18
2022,Ski,m,32
2022,Ski,m,28
2022,Ski,m,24
2022,Ski,m,32
2022,Ski,m,27
2022,Ski,m,23
2022,Ski,m,39
2022,Ski,m,30
2022,Ski,m,31
2022,Ski,m,25
2022,Ski,m,24
2022,Ski,m,33
2022,Ski,m,23
2022,Ski,m,29
2022,Ski,m,27
2022,Ski,m,22
2022,Ski,m,23
2022,Ski,m,23
2022,Ski,m,19
2022,Ski,m,32
2022,Ski,m,25
2022,Ski,m,23
2022,Ski,m,30
2022,Ski,m,22
2022,Ski,m,28
2022,Ski,m,22
2022,Ski,m,29
2022,Ski,m,31
2022,Ski,m,30
2022,Ski,m,25
2022,Ski,m,27
2022,Ski,m,22
2022,Ski,m,28
2022,Ski,m,23
2022,Ski,m,26
2022,Ski,m,18
2022,Ski,m,34
2022,Ski,m,32
2022,Ski,m,26
2022,Ski,m,23
2022,Ski,m,21
2022,Ski,m,25
2022,Ski,m,29
2022,Ski,m,30
2022,Ski,m,26
2022,Ski,m,30
2022,Ski,m,25
2022,Ski,m,32
2022,Ski,m,29
2022,Ski,m,30
2022,Ski,m,26
2022,Ski,m,28
2022,Ski,m,36
2022,Ski,m,24
2022,Ski,m,22
2022,Ski,m,27
2022,Ski,m,25
2022,Ski,m,30
2022,Ski,m,33
2022,Ski,m,24
2022,Ski,m,25
2022,Ski,m,25
2018,Snowboard,f,23
2018,Snowboard,f,20
2018,Snowboard,f,22
2018,Snowboard,f,29
2018,Snowboard,f,35
2018,Snowboard,f,26
2018,Snowboard,f,20
2018,Snowboard,f,28
2018,Snowboard,f,22
2018,Snowboard,f,20
2018,Snowboard,f,28
2018,Snowboard,f,31
2018,Snowboard,f,25
2018,Snowboard,f,31
2018,Snowboard,f,29
2018,Snowboard,f,31
2018,Snowboard,f,22
2018,Snowboard,f,25
2018,Snowboard,f,23
2018,Snowboard,f,23
2018,Snowboard,f,33
2018,Snowboard,f,24
2018,Snowboard,f,26
2018,Snowboard,f,27
2018,Snowboard,f,30
2018,Snowboard,f,20
2018,Snowboard,f,36
2018,Snowboard,f,28
2018,Snowboard,f,29
2018,Snowboard,f,45
2018,Snowboard,f,26
2018,Snowboard,m,32
2018,Snowboard,m,23
2018,Snowboard,m,34
2018,Snowboard,m,36
2018,Snowboard,m,33
2018,Snowboard,m,25
2018,Snowboard,m,38
2018,Snowboard,m,27
2018,Snowboard,m,29
2018,Snowboard,m,32
2018,Snowboard,m,30
2018,Snowboard,m,38
2018,Snowboard,m,22
2018,Snowboard,m,21
2018,Snowboard,m,29
2018,Snowboard,m,27
2018,Snowboard,m,32
2018,Snowboard,m,29
2018,Snowboard,m,28
2018,Snowboard,m,24
2018,Snowboard,m,32
2018,Snowboard,m,23
2018,Snowboard,m,32
2018,Snowboard,m,43
2018,Snowboard,m,34
2018,Snowboard,m,27
2018,Snowboard,m,32
2018,Snowboard,m,28
2018,Snowboard,m,26
2018,Snowboard,m,30
2018,Snowboard,m,31
2018,Snowboard,m,18
2018,Ski,f,35
2018,Ski,f,29
2018,Ski,f,28
2018,Ski,f,24
2018,Ski,f,29
2018,Ski,f,26
2018,Ski,f,23
2018,Ski,f,27
2018,Ski,f,26
2018,Ski,f,23
2018,Ski,f,25
2018,Ski,f,33
2018,Ski,f,22
2018,Ski,f,26
2018,Ski,f,27
2018,Ski,f,33
2018,Ski,f,29
2018,Ski,f,29
2018,Ski,f,20
2018,Ski,f,29
2018,Ski,f,25
2018,Ski,f,23
2018,Ski,f,25
2018,Ski,f,28
2018,Ski,f,26
2018,Ski,f,22
2018,Ski,f,25
2018,Ski,f,30
2018,Ski,f,25
2018,Ski,f,21
2018,Ski,f,31
2018,Ski,f,24
2018,Ski,f,28
2018,Ski,f,21
2018,Ski,f,17
2018,Ski,f,22
2018,Ski,f,24
2018,Ski,f,24
2018,Ski,f,19
2018,Ski,f,39
2018,Ski,f,25
2018,Ski,f,28
2018,Ski,f,25
2018,Ski,f,26
2018,Ski,f,28
2018,Ski,f,20
2018,Ski,f,29
2018,Ski,f,22
2018,Ski,f,23
2018,Ski,f,28
2018,Ski,f,20
2018,Ski,f,19
2018,Ski,f,22
2018,Ski,f,25
2018,Ski,f,18
2018,Ski,f,21
2018,Ski,f,33
2018,Ski,f,26
2018,Ski,f,23
2018,Ski,f,24
2018,Ski,f,25
2018,Ski,f,32
2018,Ski,f,23
2018,Ski,f,22
2018,Ski,f,21
2018,Ski,f,17
2018,Ski,f,20
2018,Ski,f,19
2018,Ski,f,22
2018,Ski,f,30
2018,Ski,f,27
2018,Ski,f,24
2018,Ski,f,24
2018,Ski,f,17
2018,Ski,f,22
2018,Ski,f,17
2018,Ski,f,20
2018,Ski,f,24
2018,Ski,f,17
2018,Ski,f,19
2018,Ski,f,26
2018,Ski,m,27
2018,Ski,m,30
2018,Ski,m,26
2018,Ski,m,26
2018,Ski,m,29
2018,Ski,m,26
2018,Ski,m,24
2018,Ski,m,28
2018,Ski,m,34
2018,Ski,m,29
2018,Ski,m,37
2018,Ski,m,26
2018,Ski,m,31
2018,Ski,m,36
2018,Ski,m,34
2018,Ski,m,26
2018,Ski,m,22
2018,Ski,m,29
2018,Ski,m,26
2018,Ski,m,25
2018,Ski,m,35
2018,Ski,m,29
2018,Ski,m,24
2018,Ski,m,31
2018,Ski,m,27
2018,Ski,m,33
2018,Ski,m,27
2018,Ski,m,26
2018,Ski,m,25
2018,Ski,m,26
2018,Ski,m,33
2018,Ski,m,27
2018,Ski,m,28
2018,Ski,m,26
2018,Ski,m,27
2018,Ski,m,26
2018,Ski,m,28
2018,Ski,m,26
2018,Ski,m,24
2018,Ski,m,25
2018,Ski,m,21
2018,Ski,m,23
2018,Ski,m,21
2018,Ski,m,22
2018,Ski,m,23
2018,Ski,m,23
2018,Ski,m,29
2018,Ski,m,22
2018,Ski,m,20
2018,Ski,m,27
2018,Ski,m,24
2018,Ski,m,30
2018,Ski,m,30
2018,Ski,m,25
2018,Ski,m,26
2018,Ski,m,25
2018,Ski,m,19
2018,Ski,m,20
2018,Ski,m,26
2018,Ski,m,23
2018,Ski,m,24
2018,Ski,m,33
2018,Ski,m,21
2018,Ski,m,20
2018,Ski,m,25
2018,Ski,m,21
2018,Ski,m,20
2018,Ski,m,30
2018,Ski,m,21
2018,Ski,m,26
2018,Ski,m,26
2018,Ski,m,30
2018,Ski,m,23
2018,Ski,m,20
2018,Ski,m,31
2018,Ski,m,22
2018,Ski,m,22
2018,Ski,m,23
2018,Ski,m,18
2018,Ski,m,23
2018,Ski,m,21
2018,Ski,m,31
2018,Ski,m,19
2018,Ski,m,20
2018,Ski,m,24
2018,Ski,m,19
2018,Ski,m,29
2018,Ski,m,27
2018,Ski,m,29
2018,Ski,m,32
2018,Ski,m,21
2018,Ski,m,24
2018,Ski,m,21
2018,Ski,m,22
2018,Ski,m,19
2018,Ski,m,29
2018,Ski,m,22
2018,Ski,m,25
2018,Ski,m,25
2018,Ski,m,23
2018,Ski,m,20
2018,Ski,m,24
2018,Ski,m,20
2018,Ski,m,18
2018,Ski,m,18
2018,Ski,m,23
2018,Ski,m,22
2018,Ski,m,20
2018,Ski,m,28
2018,Ski,m,24
2014,Ski,m,23
2014,Ski,m,30
2014,Ski,m,25
2014,Ski,m,32
2014,Ski,m,27
2014,Ski,m,30
2014,Ski,m,36
2014,Ski,m,31
2014,Ski,m,30
2014,Ski,m,22
2014,Ski,m,22
2014,Ski,m,27
2014,Ski,m,26
2014,Ski,m,27
2014,Ski,m,37
2014,Ski,m,29
2014,Ski,m,24
2014,Ski,m,26
2014,Ski,m,35
2014,Ski,m,20
2014,Ski,m,29
2014,Ski,m,28
2014,Ski,m,24
2014,Ski,m,35
2014,Ski,m,37
2014,Ski,m,22
2014,Ski,m,34
2014,Ski,m,28
2014,Ski,m,24
2014,Ski,m,22
2014,Ski,m,26
2014,Ski,m,23
2014,Ski,m,24
2014,Ski,m,23
2014,Ski,m,22
2014,Ski,m,22
2014,Ski,m,22
2014,Ski,m,21
2014,Ski,m,23
2014,Ski,m,21
2014,Ski,m,21
2014,Ski,m,21
2014,Ski,m,34
2014,Ski,m,26
2014,Ski,m,26
2014,Ski,m,23
2014,Ski,m,24
2014,Ski,m,22
2014,Ski,m,22
2014,Ski,m,27
2014,Ski,m,23
2014,Ski,m,26
2014,Ski,m,21
2014,Ski,m,20
2014,Ski,m,19
2014,Ski,m,24
2014,Ski,m,20
2014,Ski,m,22
2014,Ski,m,25
2014,Ski,m,24
2014,Ski,m,22
2014,Ski,m,32
2014,Ski,m,19
2014,Ski,m,24
2014,Ski,m,20
2014,Ski,m,23
2014,Ski,m,24
2014,Ski,m,27
2014,Ski,m,22
2014,Ski,m,22
2014,Ski,m,23
2014,Ski,m,20
2014,Ski,m,26
2014,Ski,m,24
2014,Ski,m,26
2014,Ski,m,20
2014,Ski,m,19
2014,Ski,m,22
2014,Ski,m,29
2014,Ski,m,23
2014,Ski,m,25
2014,Ski,m,27
2014,Ski,m,26
2014,Ski,m,23
2014,Ski,m,20
2014,Ski,m,28
2014,Ski,m,30
2014,Ski,m,25
2014,Ski,m,21
2014,Ski,m,21
2014,Ski,m,20
2014,Ski,m,27
2014,Ski,m,19
2014,Ski,m,21
2014,Ski,m,25
2014,Ski,m,27
2014,Ski,m,22
2014,Ski,m,18
2014,Ski,m,20
2014,Ski,m,20
2014,Ski,m,19
2014,Ski,m,19
2014,Ski,m,21
2014,Ski,m,18
2014,Ski,m,20
2014,Ski,m,21
2014,Ski,m,21
2014,Ski,m,44
2014,Ski,f,26
2014,Ski,f,21
2014,Ski,f,26
2014,Ski,f,30
2014,Ski,f,22
2014,Ski,f,25
2014,Ski,f,19
2014,Ski,f,25
2014,Ski,f,33
2014,Ski,f,29
2014,Ski,f,28
2014,Ski,f,29
2014,Ski,f,25
2014,Ski,f,22
2014,Ski,f,28
2014,Ski,f,25
2014,Ski,f,24
2014,Ski,f,26
2014,Ski,f,24
2014,Ski,f,27
2014,Ski,f,18
2014,Ski,f,24
2014,Ski,f,22
2014,Ski,f,21
2014,Ski,f,29
2014,Ski,f,20
2014,Ski,f,19
2014,Ski,f,34
2014,Ski,f,26
2014,Ski,f,22
2014,Ski,f,30
2014,Ski,f,26
2014,Ski,f,21
2014,Ski,f,30
2014,Ski,f,25
2014,Ski,f,25
2014,Ski,f,26
2014,Ski,f,26
2014,Ski,f,26
2014,Ski,f,18
2014,Ski,f,20
2014,Ski,f,19
2014,Ski,f,23
2014,Ski,f,24
2014,Ski,f,28
2014,Ski,f,34
2014,Ski,f,24
2014,Ski,f,18
2014,Ski,f,18
2014,Ski,f,24
2014,Ski,f,20
2014,Ski,f,18
2014,Ski,f,23
2014,Ski,f,23
2014,Ski,f,25
2014,Ski,f,22
2014,Ski,f,23
2014,Ski,f,23
2014,Ski,f,24
2014,Ski,f,20
2014,Ski,f,18
2014,Ski,f,19
2014,Ski,f,22
2014,Ski,f,26
2014,Ski,f,26
2014,Ski,f,31
2014,Ski,f,24
2014,Ski,f,18
2014,Ski,f,24
2014,Ski,f,29
2014,Ski,f,23
2014,Ski,f,21
2014,Ski,f,29
2014,Ski,f,22
2014,Ski,f,24
2014,Ski,f,23
2014,Ski,f,19
2014,Ski,f,29
2014,Ski,f,26
2014,Ski,f,30
2014,Ski,f,28
2014,Ski,f,19
2014,Ski,f,29
2014,Ski,f,25
2014,Ski,f,30
2014,Ski,f,27
2014,Ski,f,19
2014,Ski,f,29
2014,Ski,f,27
2014,Snowboard,f,27
2014,Snowboard,f,29
2014,Snowboard,f,27
2014,Snowboard,f,29
2014,Snowboard,f,33
2014,Snowboard,f,19
2014,Snowboard,f,22
2014,Snowboard,f,24
2014,Snowboard,f,27
2014,Snowboard,f,28
2014,Snowboard,f,26
2014,Snowboard,f,41
2014,Snowboard,f,25
2014,Snowboard,f,31
2014,Snowboard,f,19
2014,Snowboard,f,27
2014,Snowboard,f,30
2014,Snowboard,f,22
2014,Snowboard,f,18
2014,Snowboard,f,35
2014,Snowboard,f,24
2014,Snowboard,f,21
2014,Snowboard,f,25
2014,Snowboard,f,21
2014,Snowboard,f,25
2014,Snowboard,f,36
2014,Snowboard,f,27
2014,Snowboard,f,26
2014,Snowboard,f,27
2014,Snowboard,f,24
2014,Snowboard,f,23
2014,Snowboard,f,26
2014,Snowboard,m,28
2014,Snowboard,m,30
2014,Snowboard,m,29
2014,Snowboard,m,28
2014,Snowboard,m,23
2014,Snowboard,m,30
2014,Snowboard,m,28
2014,Snowboard,m,34
2014,Snowboard,m,36
2014,Snowboard,m,28
2014,Snowboard,m,32
2014,Snowboard,m,28
2014,Snowboard,m,34
2014,Snowboard,m,21
2014,Snowboard,m,39
2014,Snowboard,m,28
2014,Snowboard,m,31
2014,Snowboard,m,27
2014,Snowboard,m,30
2014,Snowboard,m,26
2014,Snowboard,m,24
2014,Snowboard,m,35
2014,Snowboard,m,22
2014,Snowboard,m,27
2014,Snowboard,m,32
2014,Snowboard,m,25
2014,Snowboard,m,25
2014,Snowboard,m,34
2014,Snowboard,m,37
2014,Snowboard,m,19
2014,Snowboard,m,35
2014,Snowboard,m,33
